,SKU reference,Name,Material,Color,Diameter,Height,Finish,Shape,Weight,Clearance price,Technical drawing
161,007055-17,diff-l-cil-fn-48x28-h23-r,Glass,,"48,00 mm","23,00 mm",,cylindrical,14 grs,,⬇ 24797
162,DOCL28250B13XXMS,white-dispenser-d28410-250-grooved-stem,Plastic,plastic-white,"28,00 mm","102,00 mm",,,14 grs,"0,121",
163,PTXL24200N11XXMS,trigger-sprayer-d24410-natural-stem-200,Plastic,plastic-transparent,"24,00 mm","81,99 mm",,,14 grs,,
164,ZRCAD0100S11XXMS,screw-cap-aluminium-silver-d100,Plastic,plastic-silverish,,"15,30 mm",,,14 grs,,
165,007055-18,diff-l-qua-frvs-opa-70x70-h14,Glass,,,,,rectangular,15 grs,,⬇ 23972
166,007074-568,lid-spice-grinder-transparent-385-x-442,Plastic,plastic-white,"42,50 mm","43,80 mm",,cylindrical,15 grs,,
167,007074-26,white-ball-stopper-18415,Plastic,plastic-white,,,,,15 grs,,
168,007074-24,tapon-bola-dorado-18415,Plastic,plastic-golden,,,,,15 grs,,
169,007074-27,black-ball-stopper-18415,Plastic,plastic-golden,,,,,15 grs,,
170,ZXCHD0080GG1XXLO,screw-cap-hdpe-seal-black-d80,Plastic,plastic-black,,"20,00 mm",,,15 grs,,
171,007074-31,golden-atomizer-and-cap-18415,Plastic,plastic-golden,,,,,15 grs,,
172,ZXCHD0052CB6XXRS,hdpe-screw-plug-blue--white-d50,Plastic,plastic-blue,,"29,40 mm",,,16 grs,,
173,ZXCLD0089B12XXNO,screw-plug-pp-seal-white-d89,Plastic,plastic-white,,"23,04 mm",,,16 grs,,
174,ZXCHD0091B11XXPR,screw-plug-hdpe-seal-white-d91,Plastic,plastic-white,,"17,30 mm",,,17 grs,,
175,ZXCHD0080B11XXBP,screw-on-cap-hdpe-seal-white-d80,Plastic,plastic-white,,,,,18 grs,,
176,ZXCHD0089B12XXPG,screw-plug-hdpe-seal-white-d89,Plastic,plastic-white,,"23,04 mm",,,19 grs,,
