,SKU reference,Capacity,Weight,Material,Diameter,Height,Color,Shape,Finish,Units per pasteurizer,Technical drawing,Length,Width
485,008082-235,720 ml,325 grs,Glass,"88,90 mm","162,20 mm",glass-white,cylindrical,Twist Off TO 77,11,,,
486,10619,720 ml,335 grs,Glass,"86,00 mm","154,00 mm",glass-white,cylindrical,Twist Off TO 82 Alta,,,,
487,10321,720 ml,340 grs,Glass,"108,00 mm","158,00 mm",glass-white,square,Twist Off TO 70 Tall,,,,
488,30699,720 ml,340 grs,Glass,"85,00 mm","145,00 mm",glass-white,square,Twist Off TO 82 Alta,,,,
489,008081-494,720 ml,340 grs,Glass,"82,90 mm","158,00 mm",white,square,Twist Off TO 70 Tall,,⬇ 27019,,
490,008081-618,720 ml,340 grs,Glass,"85,40 mm","154,80 mm",white,cylindrical,BG-Twist off,,⬇ 22490,,
491,008081-531,720 ml,355 grs,Glass,"85,90 mm","149,00 mm",white,square,BG-Twist off,,⬇ 26713,,
492,008082-1725,720 ml,360 grs,Glass,"100,00 mm","144,00 mm",glass-white,hexagonal,Twist Off TO 82,,,,
493,008081-68,720 ml,360 grs,Glass,"87,00 mm","143,00 mm",glass-white,hexagonal,Twist Off TO 82,,⬇ 11283,,
494,008082-26,720 ml,365 grs,Glass,"108,00 mm","130,50 mm",glass-white,oval,Twist Off TO 82,16,,,
495,008082-46,746 ml,320 grs,Glass,"98,40 mm","135,00 mm",glass-white,cylindrical,Twist Off TO 77,18,,,
496,008082-412,746 ml,320 grs,Glass,"96,00 mm","134,90 mm",glass-white,cylindrical,Twist Off TO 82,18,,,
497,POCP0750CT11XXNO,750 ml,46 grs,Plastic,"87,88 mm","162,80 mm",plastic-transparent,,,,,,
498,POCP0750CB12XXPH,750 ml,53 grs,Plastic,"93,00 mm","137,50 mm",plastic-white,,,,,,
499,008082-5,750 ml,292 grs,Glass,"90,70 mm","144,10 mm",glass-white,cylindrical,Twist Off TO 82,11,,,
500,008081-592,770 ml,315 grs,Glass,"88,50 mm","155,70 mm",white,cylindrical,BG-Twist off,,⬇ 15627,,
501,008082-401,770 ml,360 grs,Glass,"100,00 mm","144,00 mm",glass-white,hexagonal,Twist Off TO 82,,,,
502,008081-555,770 ml,360 grs,Glass,"89,40 mm","143,50 mm",white,hexagonal,BG-Twist off,,⬇ 7927,,
503,008081-619,770 ml,365 grs,Glass,"86,50 mm","161,50 mm",white,cylindrical,BG-Twist off,,⬇ 24865,,
504,008082-355,795 ml,506 grs,Glass,"107,00 mm","162,00 mm",glass-white,square,Weck 100 mm,,,,
505,POCH0800CB17XXNO,800 ml,36 grs,Plastic,"99,00 mm","137,00 mm",plastic-white,,,,,,
506,008081-363,800 ml,560 grs,Glass,"106,00 mm","145,00 mm",glass-white,cylindrical,,,,,
507,008081-238,825 ml,400 grs,Glass,"103,50 mm","142,80 mm",glass-white,cylindrical,Le Parfait - Finish Wiss 100 mm,,,,
508,POCH0850CB11XXBP,850 ml,48 grs,Plastic,"101,00 mm","144,00 mm",plastic-white,,,,,,
509,008081-505,850 ml,340 grs,Glass,"90,50 mm","163,20 mm",white,cylindrical,BG-Twist off,,⬇ 19286,,
510,008082-396,850 ml,340 grs,Glass,"122,00 mm","108,00 mm",glass-white,cylindrical,Twist Off TO 100,,,,
511,008082-6,850 ml,345 grs,Glass,"90,80 mm","164,60 mm",glass-white,cylindrical,Twist Off TO 82,11,,,
512,008082-130,850 ml,350 grs,Glass,"99,00 mm","151,00 mm",glass-white,cylindrical,Twist Off TO 77,9,,,
513,008081-466,850 ml,350 grs,Glass,"99,00 mm","151,00 mm",white,cylindrical,BG-Twist off,,⬇ 27273,,
514,008081-630,850 ml,370 grs,Glass,"122,20 mm","107,60 mm",white,cylindrical,BG-Twist off,,⬇ 8684,,
515,008082-371,850 ml,580 grs,Glass,"100,00 mm","147,00 mm",glass-white,cylindrical,Weck 100 mm,,,,
516,008081-465,858 ml,415 grs,Glass,"91,40 mm","179,40 mm",white,cylindrical,BG-Twist off,,⬇ 16909,,
517,008081-527,870 ml,410 grs,Glass,"99,20 mm","141,50 mm",white,cylindrical,BG-Twist off,,⬇ 11966,,
518,008081-233,875 ml,666 grs,Glass,"113,50 mm","137,10 mm",glass-white,cylindrical,Le Parfait - Finish Latex 100 mm,,,,
519,008081-645,900 ml,350 grs,Glass,"94,50 mm","162,00 mm",white,cylindrical,BG-Twist off,,⬇ 26990,,
520,008081-223,900 ml,561 grs,Glass,"108,00 mm","145,60 mm",glass-white,cylindrical,Le Parfait - Finish Latex 85 mm,,,,
521,008082-40,935 ml,400 grs,Glass,"93,00 mm","177,50 mm",glass-white,cylindrical,Twist Off TO 77,10,,,
522,008081-515,935 ml,410 grs,Glass,"93,00 mm","177,50 mm",white,cylindrical,BG-Twist off,,⬇ 25899,,
523,10534,991 ml,376 grs,Glass,"95,00 mm","179,00 mm",glass-white,cylindrical,Twist Off TO 70,,,,
524,008082-25,997 ml,385 grs,Glass,"105,60 mm","154,00 mm",glass-white,cylindrical,Twist Off TO 82,8,,,
525,POCH0001LN12XXBP,1000 ml,53 grs,Plastic,"101,00 mm","152,00 mm",plastic-white,,,,,,
526,POCP0001LB12XXAA,1000 ml,54 grs,Plastic,"106,00 mm","160,00 mm",plastic-white,,,,,,
527,POCP0001LT19XXPP,1000 ml,56 grs,Plastic,"110,50 mm","136,00 mm",plastic-transparent,,,,,,
528,POCY0001LT19XXPP,1000 ml,56 grs,Plastic,"110,50 mm","136,00 mm",plastic-transparent,,,,,,
529,POCH0001LB11XXBP,1000 ml,57 grs,Plastic,"101,00 mm","169,00 mm",plastic-white,,,,,,
530,POCL0001LB11XXPR,1000 ml,59 grs,Plastic,"111,60 mm","123,80 mm",plastic-white,,,,,,
531,PA BA 1100BL A00,1000 ml,65 grs,Plastic,"100,00 mm","143,00 mm",plastic-white,cylindrical,,,⬇ PA BA 1100BL A00,,
532,POCP1000CB1MXXNO,1000 ml,66 grs,Plastic,"112,00 mm","131,87 mm",plastic-white,,,,,,
533,PA BA 1100BL B00,1000 ml,71 grs,Plastic,"103,00 mm","143,00 mm",plastic-white,cylindrical,,,⬇ PA BA 1100BL B00,,
534,CT BA 1000 UN S00,1000 ml,100 grs,Plastic,"100,00 mm","157,00 mm",plastic-white,cylindrical,,,⬇ CT BA 1000 UN S00,,
535,008081-375,1000 ml,450 grs,Glass,"108,00 mm","165,60 mm",white,cylindrical,Le Parfait - Boca Rosca 100 mm,,,,
536,008082-1571,1000 ml,462 grs,Glass,"185,00 mm","86,00 mm",glass-white,cylindrical,BG-Screw,,,,
537,008082-1573,1000 ml,462 grs,Glass,"185,00 mm","86,00 mm",glass-white,cylindrical,BG-Screw,,,,
538,008082-1612,1000 ml,498 grs,Glass,"110,00 mm","155,00 mm",glass-white,square,Twist Off TO 82,,,,
539,008082-1707,1000 ml,536 grs,Glass,"115,00 mm","175,00 mm",glass-white,cylindrical,,,,,
540,002022-1539,1000 ml,839 grs,Glass,"70,00 mm","280,00 mm",glass-white,cylindrical,,,,,
541,008082-216,1018 ml,425 grs,Glass,"95,80 mm","187,50 mm",glass-white,cylindrical,Twist Off TO 82,9,,,
542,008081-239,1020 ml,510 grs,Glass,"103,50 mm","174,00 mm",glass-white,cylindrical,Le Parfait - Finish Wiss 100 mm,,,,
543,008082-350,1040 ml,630 grs,Glass,"80,00 mm","210,00 mm",glass-white,cylindrical,Weck 80 mm,,,,
544,008081-509,1062 ml,370 grs,Glass,"98,00 mm","176,00 mm",white,cylindrical,BG-Twist off,,⬇ 12391,,
545,008081-597,1062 ml,400 grs,Glass,"106,80 mm","160,00 mm",white,cylindrical,BG-Twist off,,⬇ 10103,,
546,008081-616,1062 ml,450 grs,Glass,"85,40 mm","222,40 mm",white,cylindrical,BG-Twist off,,⬇ 16905,,
547,008082-404,1062 ml,550 grs,Glass,"99,20 mm","176,30 mm",glass-white,cylindrical,Twist Off TO 100,,,,
548,002022-940,1062 ml,580 grs,Glass,"60,00 mm","250,00 mm",glass-white,cylindrical,Weck 60 mm,,,,
549,008082-366,1062 ml,592 grs,Glass,"145,00 mm","105,00 mm",glass-white,cylindrical,Weck 100 mm,,,,
550,008082-369,1062 ml,640 grs,Glass,"100,00 mm","147,00 mm",glass-white,cylindrical,Weck 100 mm,,,,
551,008081-639,1062 ml,740 grs,Glass,"104,60 mm","145,50 mm",white,square,BG-Twist off,,⬇ 11365,,
552,008081-234,1115 ml,766 grs,Glass,"113,50 mm","171,60 mm",glass-white,cylindrical,Le Parfait - Finish Latex 100 mm,,,,
553,008081-551,1140 ml,620 grs,Glass,"108,00 mm","178,40 mm",white,cylindrical,BG-Swing Top,,⬇ 9086,,
554,008082-1586,1140 ml,645 grs,Glass,"108,00 mm","183,00 mm",glass-white,cylindrical,,,,,
555,008081-224,1160 ml,626 grs,Glass,"108,00 mm","176,10 mm",glass-white,,Le Parfait - Finish Latex 85 mm,,,,
556,008081-240,1282 ml,555 grs,Glass,"116,00 mm","170,00 mm",glass-white,cylindrical,Le Parfait - Finish Wiss 110 mm,,,,
557,POCP1500CB1MXXPI,1500 ml,76 grs,Plastic,"120,00 mm","163,10 mm",plastic-white,,,,,,
558,PA BA 1150BL A00,1500 ml,88 grs,Plastic,"100,00 mm","195,00 mm",plastic-white,cylindrical,,,⬇ PA BA 1150BL A00,,
559,CT BA 1500 UN S00,1500 ml,154 grs,Plastic,"119,00 mm","161,00 mm",plastic-white,cylindrical,,,⬇ CT BA 1500 UN S00,,
560,10143,1500 ml,580 grs,Glass,"120,00 mm","177,00 mm",glass-white,cylindrical,Twist Off TO 82,,,,
561,10484,1500 ml,650 grs,Glass,"108,00 mm","196,00 mm",glass-white,square,Twist Off TO 82 Alta,,,,
562,008081-360,1500 ml,760 grs,Glass,"120,00 mm","184,90 mm",glass-white,square,,,,,
563,008081-225,1555 ml,741 grs,Glass,"108,00 mm","225,70 mm",glass-white,cylindrical,Le Parfait - Finish Latex 85 mm,,,,
