,SKU reference,Capacity,Weight,Material,Diameter,Height,Color,Finish,Shape,Units per pasteurizer,Technical drawing
174,008081-638,212 ml,195 grs,Glass,"63,00 mm","85,70 mm",white,BG-Twist off,square,,⬇ 19217
175,008081-536,212 ml,200 grs,Glass,"71,10 mm","81,30 mm",extrawhite,Twist Off TO 58 Tall,square,,⬇ 19640
176,29323,212 ml,250 grs,Glass,"76,80 mm","79,00 mm",extrawhite,BG-Screw,cylindrical,,⬇ 29323
177,29322,212 ml,250 grs,Glass,"69,80 mm","91,00 mm",extrawhite,BG-Screw,cylindrical,,⬇ 29322
178,008081-290,212 ml,260 grs,Glass,"69,80 mm","74,70 mm",glass-white,Twist Off TO 66 Tall,square,60,⬇ 17535
179,008082-1602,212 ml,348 grs,Glass,"114,00 mm","55,00 mm",glass-white,Twist Off TO 110,cylindrical,,
180,008081-519,212 ml,350 grs,Glass,"84,00 mm","89,50 mm",white,BG-Twist off,cylindrical,,⬇ 12374
181,008081-594,212 ml,400 grs,Glass,"77,30 mm","84,60 mm",white,BG-Twist off,square,,⬇ 17402
182,008082-385,215 ml,125 grs,Glass,"62,00 mm","101,50 mm",white,BG-Twist off,cylindrical,,⬇ 20067
183,10245,215 ml,125 grs,Glass,"62,00 mm","101,00 mm",glass-white,Twist Off TO 53,cylindrical,,
184,008082-357,220 ml,120 grs,Glass,"60,00 mm","80,00 mm",glass-white,Weck 60 mm,cylindrical,,
185,008081-572,220 ml,124 grs,Glass,"69,30 mm","77,00 mm",white,Twist Off 66 Deep,cylindrical,,⬇ 22023
186,008082-352,220 ml,193 grs,Glass,"60,00 mm","66,00 mm",glass-white,Weck 60 mm,cylindrical,,
187,008082-335,223 ml,130 grs,Glass,"70,00 mm","78,80 mm",glass-white,Twist Off TO 66 Tall,cylindrical,,
188,008081-326,225 ml,140 grs,Glass,"70,50 mm","79,20 mm",glass-white,Twist Off TO 66 Tall,cylindrical,57,
189,008081-483,225 ml,150 grs,Glass,"82,00 mm","62,70 mm",white,BG-Twist off,cylindrical,,⬇ 10912
190,008081-331,225 ml,160 grs,Glass,"69,30 mm","83,50 mm",white,Twist Off 66 Deep,cylindrical,,⬇ 16199
191,008081-511,228 ml,120 grs,Glass,"67,70 mm","84,70 mm",white,BG-Twist off,cylindrical,,⬇ 19422
192,008081-280,228 ml,135 grs,Glass,"92,20 mm","52,00 mm",glass-white,Twist Off TO 82,cylindrical,,
193,008081-487,228 ml,140 grs,Glass,"66,70 mm","98,00 mm",white,BG-Twist off,cylindrical,,⬇ 26155
194,008081-603,228 ml,140 grs,Glass,"86,00 mm","55,20 mm",white,BG-Twist off,cylindrical,,⬇ 12694
195,008081-617,228 ml,150 grs,Glass,"85,40 mm","55,70 mm",white,BG-Twist off,cylindrical,,⬇ 20984
196,008081-659,228 ml,185 grs,Glass,"105,00 mm","77,50 mm",white,BG-Twist off,complex,,⬇ 13220
197,008081-601,229 ml,150 grs,Glass,"67,30 mm","87,30 mm",white,BG-Twist off,octogonal,,⬇ 16619
198,008082-293,230 ml,125 grs,Glass,"82,00 / 73,00 mm","59,00 mm",glass-white,,cylindrical,,
199,008081-658,230 ml,130 grs,Glass,"77,00 mm","67,00 mm",white,BG-Twist off,cylindrical,,⬇ 9321
200,008081-263,235 ml,135 grs,Glass,"81,00 mm","64,50 mm",glass-white,Twist Off TO 82,cylindrical,52,
201,10403,244 ml,160 grs,Glass,"57,00 mm","129,00 mm",glass-white,Twist Off TO 53,cylindrical,,
202,008082-21,244 ml,175 grs,Glass,"57,80 mm","129,50 mm",white,Twist Off TO 53,cylindrical,58,
203,008082-124,245 ml,150 grs,Glass,"64,50 mm","109,50 mm",white,Twist Off TO 58,cylindrical,46,
204,008082-9,250 ml,150 grs,Glass,"71,80 mm","84,00 mm",white,Twist Off TO 66,cylindrical,57,
205,002021-1189,250 ml,150 grs,Glass,"62,50 mm","137,80 mm",white,Twist Off 43 Deep,cylindrical,,⬇ 19140
206,007071-1031,250 ml,155 grs,Glass,"61,00 mm","115,00 mm",glass-white,Twist Off TO 58,complex,,
207,008081-522,250 ml,155 grs,Glass,"62,30 mm","114,10 mm",white,Twist Off TO 58 Tall,cylindrical,,⬇ 16794
208,10282,250 ml,185 grs,Glass,"48,00 mm","97,00 mm",glass-white,Twist Off TO 63 Tall,square,,
209,008081-492,250 ml,185 grs,Glass,"67,50 mm","97,50 mm",white,Twist Off TO 63 Tall,square,,⬇ 21513
210,007071-971,250 ml,196 grs,Glass,"66,00 mm","102,00 mm",glass-white,,cylindrical,,
211,008081-544,255 ml,175 grs,Glass,"77,70 mm","69,00 mm",white,BG-Swing Top,cylindrical,,⬇ 19921
212,38006,255 ml,237 grs,Glass,"78,00 / 76,00 mm","69,00 mm",glass-white,Le parfait Bistrot 71,cylindrical,,⬇ 38006
213,008081-362,255 ml,300 grs,Glass,"85,00 mm","90,00 mm",glass-white,,cylindrical,,
214,008081-221,255 ml,314 grs,Glass,"83,30 mm","86,10 mm",glass-white,Le Parfait - Finish Latex 70 mm,cylindrical,,
215,008082-218,257 ml,175 grs,Glass,"73,20 mm","83,70 mm",glass-white,Twist Off TO 70 Tall,cylindrical,51,
216,008082-1647,260 ml,275 grs,Glass,"100,00 mm","100,00 mm",glass-white,Twist Off TO 43,hexagonal,,
217,008081-478,260 ml,180 grs,Glass,"82,00 mm","80,60 mm",white,BG-Twist off,cylindrical,,⬇ 13548
218,005055-17,260 ml,275 grs,Glass,"78,00 mm","85,00 mm",glass-white,,cylindrical,,⬇ 29998
219,008082-76,262 ml,135 grs,Glass,"78,14 mm","68,80 mm",glass-white,Twist Off TO 82,cylindrical,39,
220,008081-577,262 ml,163 grs,Glass,"86,20 mm","64,90 mm",white,BG-Twist off,cylindrical,,⬇ 22700
221,008081-212,270 ml,190 grs,Glass,"74,00 mm","88,00 mm",glass-white,Twist Off TO 70 Tall,cylindrical,51,
222,008082-136,270 ml,222 grs,Glass,"87,00 / 87,00 mm","95,00 mm",glass-white,Twist Off TO 63,square,24,
223,008081-446,270 ml,222 grs,Glass,"68,00 mm","95,00 mm",white,BG-Twist off,square,,⬇ 25901
224,008081-548,272 ml,175 grs,Glass,"62,30 mm","132,50 mm",white,BG-Swing Top,cylindrical,,⬇ 12223
225,008082-41,275 ml,210 grs,Glass,"72,70 mm","101,00 mm",white,Twist Off TO 63,cylindrical,38,
226,008082-30,277 ml,165 grs,Glass,"61,80 mm","115,00 mm",white,Twist Off TO 66,cylindrical,42,
227,008082-258,277 ml,175 grs,Glass,"62,00 mm","116,00 mm",glass-white,Twist Off TO 66,cylindrical,,
228,008081-484,277 ml,175 grs,Glass,"62,50 mm","116,00 mm",white,BG-Twist off,cylindrical,,⬇ 10911
229,008082-79,277 ml,180 grs,Glass,"68,50 mm","124,00 mm",white,Twist Off TO 58,cylindrical,42,
230,008081-498,280 ml,145 grs,Glass,"86,50 mm","63,70 mm",white,BG-Twist off,cylindrical,,⬇ 25208
231,008081-461,280 ml,152 grs,Glass,"67,00 mm","110,00 mm",white,BG-Twist off,cylindrical,,⬇ 25
232,008081-488,280 ml,200 grs,Glass,"70,90 mm","117,80 mm",white,BG-Twist off,cylindrical,,⬇ 26277
233,008081-554,280 ml,205 grs,Glass,"69,20 mm","121,40 mm",white,BG-Twist off,hexagonal,,⬇ 10408
234,008081-272,282 ml,150 grs,Glass,"86,50 mm","64,20 mm",glass-white,Twist Off TO 82,cylindrical,48,
235,10569,282 ml,150 grs,Glass,"86,00 mm","63,00 mm",glass-white,Twist Off TO 82,cylindrical,,
236,008082-414,282 ml,225 grs,Glass,"89,00 / 89,00 mm","89,00 mm",glass-white,Twist Off TO 63,square,24,
237,008081-327,282 ml,265 grs,Glass,"73,00 mm","110,00 mm",glass-white,Lid Snap PP 68,cylindrical,,
238,008081-521,286 ml,155 grs,Glass,"71,20 mm","98,00 mm",white,Twist Off 66 Deep,cylindrical,,⬇ 12950
